#Annotated with Bakta (v1.6.1): https://github.com/oschwengers/bakta
#Database (v4.0): https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_8	ncRNA	9815	9921	+	KKIFNO_00055	Qrr	Qrr RNA	RFAM:RF00378, SO:0000655
contig_8	cds	10095	10733	+	KKIFNO_00060		phosphohydrolase	KEGG:K06950, RefSeq:WP_020334136.1, SO:0001217, UniParc:UPI000356EBF2, UniRef:UniRef100_A0A1B1EH78, UniRef:UniRef50_U3CPS8, UniRef:UniRef90_A0A1B1EH78
contig_8	cds	10734	11480	+	KKIFNO_00065		XRE family transcriptional regulator	RefSeq:WP_020334135.1, SO:0001217, UniParc:UPI000356E067, UniRef:UniRef100_UPI000356E067, UniRef:UniRef50_U3A3X8, UniRef:UniRef90_A0A1B1EH21
contig_8	cds	11629	13491	+	KKIFNO_00070		MFS transporter	RefSeq:WP_020334134.1, SO:0001217, UniParc:UPI00035728BC, UniRef:UniRef100_UPI00035728BC, UniRef:UniRef50_Q8EKA1, UniRef:UniRef90_A0A1B1EH37
contig_8	cds	13588	14205	+	KKIFNO_00075		cobinamide adenolsyltransferase	RefSeq:WP_020334133.1, SO:0001217, UniParc:UPI0003576A53, UniRef:UniRef100_UPI0003576A53, UniRef:UniRef50_A0A3Q0KYZ9, UniRef:UniRef90_A0A1B1EH49
contig_8	ncRNA-region	14307	14447	+			FMN riboswitch (RFN element)	RFAM:RF00050, SO:0000035
contig_8	cds	14562	15218	+	KKIFNO_00080	ribB	3,4-dihydroxy-2-butanone 4-phosphate synthase	COG:COG0108, COG:H, EC:4.1.99.12, GO:0000287, GO:0008686, GO:0009231, GO:0030145, RefSeq:WP_014233750.1, SO:0001217, UniParc:UPI000243BBCF, UniRef:UniRef100_A0A1B1EH26, UniRef:UniRef50_Q9KKP2, UniRef:UniRef90_Q87GR5
contig_8	cds	15331	15876	+	KKIFNO_00085		glutathione peroxidase	EC:1.11.1.9, KEGG:K00432, RefSeq:WP_020334131.1, SO:0001217, UniParc:UPI000357D225, UniRef:UniRef100_UPI000357D225, UniRef:UniRef50_B7VHV1, UniRef:UniRef90_A0A1B1EHR1
contig_8	cds	15887	16333	+	KKIFNO_00090		DUF3429 domain-containing protein	RefSeq:WP_014233748.1, SO:0001217, UniParc:UPI000243BBCD, UniRef:UniRef100_A0A3B7CY17, UniRef:UniRef50_Q6LGE3, UniRef:UniRef90_A0A1B1EHD0
contig_8	cds	16391	16990	-	KKIFNO_00095		thiol:disulfide interchange protein	EC:1.8.4.15, KEGG:K03673, RefSeq:WP_020334130.1, SO:0001217, UniParc:UPI000358078D, UniRef:UniRef100_UPI000358078D, UniRef:UniRef50_A0A3N3DWU7, UniRef:UniRef90_A0A1B1EH33
contig_8	cds	17065	17493	-	KKIFNO_00100		hypothetical protein	RefSeq:WP_020334129.1, SO:0001217, UniParc:UPI000358034D, UniRef:UniRef100_UPI000358034D, UniRef:UniRef50_A7N7E2, UniRef:UniRef90_A0A1B1ELD1
contig_8	cds	17633	17938	+	KKIFNO_00105		1,4-alpha-glucan branching protein	RefSeq:WP_014233745.1, SO:0001217, UniParc:UPI000243BBCA, UniRef:UniRef100_A0A1B1EH44, UniRef:UniRef50_A0A2I3CPD9, UniRef:UniRef90_A0A1B1EH44
contig_8	cds	18192	18515	+	KKIFNO_00110		Diacylglycerol kinase	RefSeq:WP_020334128.1, SO:0001217, UniParc:UPI0003571A77, UniRef:UniRef100_A0A1B1EH63, UniRef:UniRef50_P0ABN3, UniRef:UniRef90_A0A1B1EH63
contig_8	cds	18537	20195	+	KKIFNO_00115	mcr-3,mcr-4	phosphoethanolamine transferase	RefSeq:WP_020334127.1, SO:0001217, UniParc:UPI000357D752, UniRef:UniRef100_UPI000357D752, UniRef:UniRef50_A0A1M5ZNI4, UniRef:UniRef90_A0A1B1EH90
contig_8	cds	20347	21279	+	KKIFNO_00120		gfo/Idh/MocA family oxidoreductase	RefSeq:WP_020334126.1, SO:0001217, UniParc:UPI00035832DE, UniRef:UniRef100_UPI00035832DE, UniRef:UniRef50_A0A1W6UTJ3, UniRef:UniRef90_A0A1B1EH31
contig_8	cds	21523	21954	+	KKIFNO_00125	yccF	YccF domain-containing protein	COG:COG3304, COG:S, RefSeq:WP_014233741.1, SO:0001217, UniParc:UPI000243BBC6, UniRef:UniRef100_A0A1B1EH47, UniRef:UniRef50_W9VNR1, UniRef:UniRef90_Q87GN1
contig_8	cds	22465	22881	-	KKIFNO_00130	marR	MarR family transcriptional regulator	COG:COG1846, COG:K, RefSeq:WP_020334125.1, SO:0001217, UniParc:UPI0003580558, UniRef:UniRef100_A0A3B7CZJ1, UniRef:UniRef50_A0A379Z6P3, UniRef:UniRef90_A0A072JKF8
contig_8	cds	22885	23802	-	KKIFNO_00135	dmeF	CDF family Co(II)/Ni(II) efflux transporter DmeF	SO:0001217, UniRef:UniRef50_A0A1M5VH38, UniRef:UniRef90_A0A1B1ELC8
contig_8	cds	23973	24821	+	KKIFNO_00140		patatin family protein	RefSeq:WP_020334123.1, SO:0001217, UniParc:UPI000357B934, UniRef:UniRef100_UPI000357B934, UniRef:UniRef50_A0A2I3CNT6, UniRef:UniRef90_A0A1B1EH36
contig_8	cds	24970	25818	-	KKIFNO_00145		quercetin 2,3-dioxygenase	RefSeq:WP_020334122.1, SO:0001217, UniParc:UPI000357045F, UniRef:UniRef100_UPI000357045F, UniRef:UniRef50_A0A1C9W5B2, UniRef:UniRef90_A0A1B1EHS3
contig_8	ncRNA-region	26102	26513	+			cspA thermoregulator	RFAM:RF01766, SO:0002168
contig_8	cds	26262	26471	+	KKIFNO_00150	cspC	cold-shock protein	COG:COG1278, COG:K, KEGG:K03704, RefSeq:WP_014233736.1, SO:0001217, UniParc:UPI000243BBC1, UniRef:UniRef100_A0A1B1EHE0, UniRef:UniRef50_Q51929, UniRef:UniRef90_A0A0H0YBG7
contig_8	cds	26711	26920	+	KKIFNO_00155		hypothetical protein	RefSeq:WP_020334121.1, SO:0001217, UniParc:UPI0003579BE8, UniRef:UniRef100_A0A1B1EH41, UniRef:UniRef50_A0A0H0Y9E1, UniRef:UniRef90_A0A1B1EH41
contig_8	cds	26971	27111	+	KKIFNO_00160		adenosine deaminase	RefSeq:WP_014233734.1, SO:0001217, UniParc:UPI000243BBBF, UniRef:UniRef100_A0A1B1EH52, UniRef:UniRef50_A0A3A1PXI5, UniRef:UniRef90_A0A1B1EH52
contig_8	ncRNA-region	27292	27391	+			Purine riboswitch	RFAM:RF00167, SO:0000035
contig_8	cds	27481	28494	+	KKIFNO_00165	add	adenosine deaminase	EC:3.5.4.2, KEGG:K21053, RefSeq:WP_020334120.1, SO:0001217, UniParc:UPI0003571597, UniRef:UniRef100_UPI0003571597, UniRef:UniRef50_Q87GM3, UniRef:UniRef90_A0A1B1EH73
contig_8	cds	28669	29142	+	KKIFNO_00170	aHP1	peroxiredoxin	COG:COG0678, COG:O, RefSeq:WP_014233732.1, SO:0001217, UniParc:UPI000243BBBD, UniRef:UniRef100_A0A1B1EH97, UniRef:UniRef50_Q8E8M3, UniRef:UniRef90_A7N3J6
contig_8	cds	29197	30525	-	KKIFNO_00175		serine protease	RefSeq:WP_020334119.1, SO:0001217, UniParc:UPI000357E6B8, UniRef:UniRef100_UPI000357E6B8, UniRef:UniRef50_S5JEW8, UniRef:UniRef90_UPI000357E6B8
contig_8	cds	31338	32195	-	KKIFNO_00180	yghU	glutathione-dependent disulfide-bond oxidoreductase	COG:COG0625, COG:O, RefSeq:WP_014233730.1, SO:0001217, UniParc:UPI000243BBBB, UniRef:UniRef100_UPI000243BBBB, UniRef:UniRef50_A0A0M6XU11, UniRef:UniRef90_A0A1W6UE85
contig_8	cds	32442	33161	-	KKIFNO_00185	fabG	beta-ketoacyl-ACP reductase	RefSeq:WP_014233729.1, SO:0001217, UniParc:UPI000243BBBA, UniRef:UniRef100_A0A1B1EH70, UniRef:UniRef50_A0A176K3C4, UniRef:UniRef90_A0A1B1EH70
contig_8	cds	33468	34124	+	KKIFNO_00190		cupin	RefSeq:WP_020334113.1, SO:0001217, UniParc:UPI00035719CB, UniRef:UniRef100_UPI00035719CB, UniRef:UniRef50_A0A2I3CNY7, UniRef:UniRef90_A0A1B1EH46
contig_8	cds	34169	34408	-	KKIFNO_00195		DUF465 domain-containing protein	RefSeq:WP_014233727.1, SO:0001217, UniParc:UPI000243BBB8, UniRef:UniRef100_A0A1B1EHT4, UniRef:UniRef50_E1SMR8, UniRef:UniRef90_A0A1B1EHT4
contig_8	cds	34616	35653	+	KKIFNO_00200		DUF4382 domain-containing protein	RefSeq:WP_020334111.1, SO:0001217, UniParc:UPI0003573BB9, UniRef:UniRef100_UPI0003573BB9, UniRef:UniRef50_B7VS74, UniRef:UniRef90_A0A1B1EHF0
contig_8	cds	36300	37328	+	KKIFNO_00205		hypothetical protein	RefSeq:WP_020334110.1, SO:0001217, UniParc:UPI0003572A30, UniRef:UniRef100_UPI0003572A30, UniRef:UniRef50_A0A3B7D3V4, UniRef:UniRef90_A0A3B7D3V4
contig_8	cds	37491	38201	+	KKIFNO_00210		lipoate--protein ligase	RefSeq:WP_020334109.1, SO:0001217, UniParc:UPI000356F360, UniRef:UniRef100_UPI000356F360, UniRef:UniRef50_A0A1C7FIT7, UniRef:UniRef90_A0A1B1EH59
contig_8	cds	38250	38678	-	KKIFNO_00215		lactoylglutathione lyase	RefSeq:WP_020334108.1, SO:0001217, UniParc:UPI0003571E01, UniRef:UniRef100_UPI0003571E01, UniRef:UniRef50_A0A1B1NNT0, UniRef:UniRef90_A0A1B1EH83
contig_8	cds	38906	40441	+	KKIFNO_00220	srmB	ATP-dependent RNA helicase	COG:COG0513, COG:L, RefSeq:WP_020334107.1, SO:0001217, UniParc:UPI0003582ADF, UniRef:UniRef100_UPI0003582ADF, UniRef:UniRef50_A0A0C5X1I6, UniRef:UniRef90_Q87J63
contig_8	cds	40527	43406	-	KKIFNO_00225		Six-hairpin glycosidase-like protein	RefSeq:WP_020334106.1, SO:0001217, UniParc:UPI000357D7BE, UniRef:UniRef100_UPI000357D7BE, UniRef:UniRef50_A0A2T3N449, UniRef:UniRef90_A0A1B1EH50
contig_8	cds	43631	44542	+	KKIFNO_00230	lysR	LysR family transcriptional regulator	COG:COG0583, COG:K, RefSeq:WP_020334105.1, SO:0001217, UniParc:UPI0003581EB7, UniRef:UniRef100_UPI0003581EB7, UniRef:UniRef50_D0XBZ2, UniRef:UniRef90_A0A6F8WVG4
contig_8	cds	44610	45668	-	KKIFNO_00235		alcohol dehydrogenase	RefSeq:WP_020334104.1, SO:0001217, UniParc:UPI0003578646, UniRef:UniRef100_UPI0003578646, UniRef:UniRef50_Q87J69, UniRef:UniRef90_A0A1B1EH80
contig_8	cds	45673	46185	-	KKIFNO_00240	qdoI	2,4'-dihydroxyacetophenone dioxygenase	COG:COG1917, COG:R, EC:1.13.11.41, KEGG:K05913, RefSeq:WP_014233718.1, SO:0001217, UniParc:UPI000243BABA, UniRef:UniRef100_A0A1B1EH56, UniRef:UniRef50_D0WZT6, UniRef:UniRef90_D0WZT6
contig_8	cds	46227	46988	-	KKIFNO_00245		oxidoreductase	RefSeq:WP_020334103.1, SO:0001217, UniParc:UPI0003582EA9, UniRef:UniRef100_UPI0003582EA9, UniRef:UniRef50_A0A1C9W3E5, UniRef:UniRef90_A0A1B1EHU5
contig_8	cds	47117	48133	+	KKIFNO_00250		AraC family transcriptional regulator	RefSeq:WP_020334102.1, SO:0001217, UniParc:UPI000357BE28, UniRef:UniRef100_UPI000357BE28, UniRef:UniRef50_A0A1W6TK55, UniRef:UniRef90_A0A1B1EHF8
contig_8	cds	48190	49632	-	KKIFNO_00255		6-phospho-beta-glucosidase	RefSeq:WP_020334101.1, SO:0001217, UniParc:UPI0003572762, UniRef:UniRef100_UPI0003572762, UniRef:UniRef50_C5EP49, UniRef:UniRef90_A0A1B1EH61
contig_8	cds	50041	51930	+	KKIFNO_00260		PTS beta-glucoside transporter subunit EIIBCA	EC:2.7.1.-, KEGG:K02757, RefSeq:WP_020334100.1, SO:0001217, UniParc:UPI00035756CB, UniRef:UniRef100_UPI00035756CB, UniRef:UniRef50_A0A0N0Z829, UniRef:UniRef90_A0A1B1EH72
contig_8	cds	51943	53379	+	KKIFNO_00265		6-phospho-beta-glucosidase	RefSeq:WP_020334099.1, SO:0001217, UniParc:UPI0003582389, UniRef:UniRef100_UPI0003582389, UniRef:UniRef50_A0A7T0KDD3, UniRef:UniRef90_A0A1R4B7W6
contig_8	cds	53605	54462	-	KKIFNO_00270		hypothetical protein	PFAM:PF00702.29, PFAM:PF13242.9
contig_8	cds	54662	55666	+	KKIFNO_00275		LacI family transcriptional regulator	RefSeq:WP_020334095.1, SO:0001217, UniParc:UPI000358151C, UniRef:UniRef100_UPI000358151C, UniRef:UniRef50_A0A329EHC6, UniRef:UniRef90_A0A1B1EH64
contig_8	cds	56126	57313	+	KKIFNO_00280	doeA	ectoine hydrolase DoeA	EC:3.5.4.44, KEGG:K15783, RefSeq:WP_014233710.1, SO:0001217, UniParc:UPI000243BAB2, UniRef:UniRef100_A0A1B1EH79, UniRef:UniRef50_E1V7W1, UniRef:UniRef90_A0A0H0YG29
contig_8	cds	57361	58368	+	KKIFNO_00285	doeB	N(2)-acetyl-L-2,4-diaminobutanoate deacetylase DoeB	EC:3.5.1.125, KEGG:K15784, RefSeq:WP_020334094.1, SO:0001217, UniParc:UPI000357CF36, UniRef:UniRef100_UPI000357CF36, UniRef:UniRef50_E1V7W0, UniRef:UniRef90_A0A3B7CZZ7
contig_8	cds	58421	58900	+	KKIFNO_00290		AsnC family transcriptional regulator	KEGG:K15782, RefSeq:WP_014233708.1, SO:0001217, UniParc:UPI000243BAB0, UniRef:UniRef100_A0A3B7D437, UniRef:UniRef50_A0A447QUT9, UniRef:UniRef90_A0A0P7ERY2
contig_8	cds	59053	60573	+	KKIFNO_00295		NAD-dependent succinate-semialdehyde dehydrogenase	EC:1.2.1.-, KEGG:K15786, RefSeq:WP_020334092.1, SO:0001217, UniParc:UPI0003570D2C, UniRef:UniRef100_UPI0003570D2C, UniRef:UniRef50_E1V7V8, UniRef:UniRef90_A0A1B1EHV4
contig_8	cds	60608	62014	+	KKIFNO_00300		Uncharacterized aminotransferase y4uB	EC:2.6.1.76, KEGG:K15785, RefSeq:WP_020334091.1, SO:0001217, UniParc:UPI000357525B, UniRef:UniRef100_UPI000357525B, UniRef:UniRef50_Q53196, UniRef:UniRef90_A0A1W6TZY1
contig_8	cds	62172	62693	+	KKIFNO_00305	yaiL	DUF2058 domain-containing protein	COG:COG3122, COG:S, KEGG:K09912, RefSeq:WP_014233705.1, SO:0001217, UniParc:UPI000243BAAD, UniRef:UniRef100_A0A3B7D3X3, UniRef:UniRef50_A0A0H3L359, UniRef:UniRef90_A0A2I3CNM1
contig_8	cds	62777	64789	-	KKIFNO_00310	hutU	urocanate hydratase	COG:COG2987, COG:E, RefSeq:WP_020334090.1, SO:0001217, UniParc:UPI0003578B83, UniRef:UniRef100_UPI0003578B83, UniRef:UniRef50_F0P0W8, UniRef:UniRef90_A0A1B1EH77
contig_8	cds	64804	66297	-	KKIFNO_00315	hutH	histidine ammonia-lyase	RefSeq:WP_020334089.1, SO:0001217, UniParc:UPI00035810EF, UniRef:UniRef100_A0A1B1EHA2, UniRef:UniRef50_A2U3Y6, UniRef:UniRef90_A0A3B7D553
contig_8	cds	66443	67342	+	KKIFNO_00320		LysR family transcriptional regulator	RefSeq:WP_020334088.1, SO:0001217, UniParc:UPI000356FA90, UniRef:UniRef100_UPI000356FA90, UniRef:UniRef50_A0A290T8T4, UniRef:UniRef90_A0A0F5VHC2
contig_8	cds	67472	68131	+	KKIFNO_00325		hypothetical protein	RefSeq:WP_020334087.1, SO:0001217, UniParc:UPI0003571DBA, UniRef:UniRef100_UPI0003571DBA, UniRef:UniRef50_A0A1B1EH74, UniRef:UniRef90_A0A1B1EH74
contig_8	cds	68516	68866	+	KKIFNO_00330		4-amino-4-deoxy-L-arabinose transferase	RefSeq:WP_014233686.1, SO:0001217, UniParc:UPI000243B9A9, UniRef:UniRef100_A0A1B1EH92, UniRef:UniRef50_B5JUH4, UniRef:UniRef90_A0A1B1EH92
contig_8	cds	68958	69257	-	KKIFNO_00335		hypothetical protein	RefSeq:WP_020334086.1, SO:0001217, UniParc:UPI0003570E80, UniRef:UniRef100_UPI0003570E80, UniRef:UniRef50_A0A1B1EH99, UniRef:UniRef90_A0A1B1EH99
contig_8	cds	69503	70075	+	KKIFNO_00340		ACP phosphodiesterase	RefSeq:WP_014233684.1, SO:0001217, UniParc:UPI000243B9A7, UniRef:UniRef100_A0A1B1EHH8, UniRef:UniRef50_A0A0D6QDV8, UniRef:UniRef90_A0A1B1EHH8
contig_8	cds	70198	70839	-	KKIFNO_00345		TetR family transcriptional regulator	RefSeq:WP_014233683.1, SO:0001217, UniParc:UPI000243B9A6, UniRef:UniRef100_UPI000243B9A6, UniRef:UniRef50_A0A0W8JCR6, UniRef:UniRef90_A0A1B1EH81
contig_8	cds	71391	72803	+	KKIFNO_00350	xdhA	xanthine dehydrogenase small subunit	RefSeq:WP_020334085.1, SO:0001217, UniParc:UPI000357EA74, UniRef:UniRef100_A0A1B1EH86, UniRef:UniRef50_A0A7D7XAE1, UniRef:UniRef90_A0A3B7CXD4
contig_8	cds	72796	75192	+	KKIFNO_00355	xdhB	xanthine dehydrogenase molybdopterin binding subunit	RefSeq:WP_020334084.1, SO:0001217, UniParc:UPI00035791D5, UniRef:UniRef100_UPI00035791D5, UniRef:UniRef50_A0A0W8JCN5, UniRef:UniRef90_A0A3B7D3Y1
contig_8	cds	75176	76087	+	KKIFNO_00360	xdhC	xanthine dehydrogenase accessory protein XdhC	KEGG:K07402, RefSeq:WP_020334083.1, SO:0001217, UniParc:UPI0003577FE8, UniRef:UniRef100_UPI0003577FE8, UniRef:UniRef50_A0A109X0N5, UniRef:UniRef90_A0A3B7D9B6
contig_8	cds	76084	76575	+	KKIFNO_00365	uraD	decarboxylase	RefSeq:WP_020334080.1, SO:0001217, UniParc:UPI0003580849, UniRef:UniRef100_UPI0003580849, UniRef:UniRef50_A0A1X1MR22, UniRef:UniRef90_A0A1B1EH84
contig_8	cds	76572	76895	+	KKIFNO_00370	uraH	hydroxyisourate hydrolase	RefSeq:WP_020334079.1, SO:0001217, UniParc:UPI0003581297, UniRef:UniRef100_A0A1B1EHA3, UniRef:UniRef50_A0A120L391, UniRef:UniRef90_A0A1B1EHA3
contig_8	cds	77022	78251	+	KKIFNO_00375		Urate oxidase N-terminal	RefSeq:WP_020334078.1, SO:0001217, UniParc:UPI000356E419, UniRef:UniRef100_UPI000356E419, UniRef:UniRef50_A0A0S2JK52, UniRef:UniRef90_A0A1B1EHA7
contig_8	cds	78548	79951	+	KKIFNO_00380	pbuX	xanthine permease XanP	RefSeq:WP_020334077.1, SO:0001217, UniParc:UPI000357FCDC, UniRef:UniRef100_UPI000357FCDC, UniRef:UniRef50_W6QW76, UniRef:UniRef90_A0A1B1EH88
contig_8	cds	80070	80474	-	KKIFNO_00385		ribosome recycling factor	SO:0001217, UniRef:UniRef50_K7AB98, UniRef:UniRef90_A0A1B1ELV4
contig_8	cds	80635	81408	-	KKIFNO_00390		nickel transporter	RefSeq:WP_014233674.1, SO:0001217, UniParc:UPI000243B99D, UniRef:UniRef100_UPI000243B99D, UniRef:UniRef50_A0A0B8QNK1, UniRef:UniRef90_A0A1B1EHX3
contig_8	cds	81423	82511	-	KKIFNO_00395	hisC	histidinol-phosphate transaminase	SO:0001217, UniRef:UniRef50_A0A6B8N1A8, UniRef:UniRef90_A0A1B1ELP6
contig_8	cds	82664	83578	+	KKIFNO_00400		transcriptional regulator	RefSeq:WP_014233672.1, SO:0001217, UniParc:UPI000243B99B, UniRef:UniRef100_UPI000243B99B, UniRef:UniRef50_Q6LI78, UniRef:UniRef90_A0A1B1EHI9
contig_8	cds	83532	83696	-	KKIFNO_00405		hypothetical protein	
contig_8	cds	83724	83927	-	KKIFNO_00410		hypothetical protein	RefSeq:WP_020334074.1, SO:0001217, UniParc:UPI0003572605, UniRef:UniRef100_UPI0003572605, UniRef:UniRef50_S5IL26, UniRef:UniRef90_A0A1B1EH89
contig_8	cds	84839	85051	+	KKIFNO_00415	cspC	cold-shock protein	COG:COG1278, COG:K, RefSeq:WP_020334073.1, SO:0001217, UniParc:UPI0003574CDC, UniRef:UniRef100_UPI0003574CDC, UniRef:UniRef50_P72188, UniRef:UniRef90_A0A0F2HYX5
contig_8	cds	85342	87594	+	KKIFNO_00420	rnr	ribonuclease R	RefSeq:WP_020334072.1, SO:0001217, UniParc:UPI000357D7FE, UniRef:UniRef100_UPI000357D7FE, UniRef:UniRef50_A0A0U2NK07, UniRef:UniRef90_A0A1B1EHC5
contig_8	cds	87501	87782	-	KKIFNO_00425		hypothetical protein	
contig_8	cds	88024	88617	-	KKIFNO_00430		NADPH-dependent oxidoreductase	EC:1.7.1.6, KEGG:K03206, RefSeq:WP_020334071.1, SO:0001217, UniParc:UPI0003577B70, UniRef:UniRef100_A0A1B1EHB9, UniRef:UniRef50_U2ZK44, UniRef:UniRef90_A0A1B1EHB9
contig_8	cds	88614	89531	-	KKIFNO_00435		EamA family transporter	KEGG:K15269, RefSeq:WP_024373009.1, SO:0001217, UniParc:UPI0004040938, UniRef:UniRef100_UPI0004040938, UniRef:UniRef50_W1IRU0, UniRef:UniRef90_A0A1B1EHA1
contig_8	cds	89654	90148	+	KKIFNO_00440		MarR family transcriptional regulator	RefSeq:WP_014233664.1, SO:0001217, UniParc:UPI000243B993, UniRef:UniRef100_UPI000243B993, UniRef:UniRef50_A0A1M7Z227, UniRef:UniRef90_A0A1B1EHY4
contig_8	cds	90192	91073	-	KKIFNO_00445		LysR family transcriptional regulator	RefSeq:WP_020334446.1, SO:0001217, UniParc:UPI00035741F1, UniRef:UniRef100_UPI00035741F1, UniRef:UniRef50_K6Z4P0, UniRef:UniRef90_A0A1B1EHJ6
contig_8	cds	91224	92423	+	KKIFNO_00450		MFS sugar transporter	RefSeq:WP_020334445.1, SO:0001217, UniParc:UPI000358188E, UniRef:UniRef100_UPI000358188E, UniRef:UniRef50_A0A1L5TEQ4, UniRef:UniRef90_A0A1B1EHA0
contig_8	cds	92576	93214	-	KKIFNO_00455		DNA-binding response regulator	RefSeq:WP_020334444.1, SO:0001217, UniParc:UPI0003570F37, UniRef:UniRef100_UPI0003570F37, UniRef:UniRef50_A0A1I4PFX0, UniRef:UniRef90_A0A1B1EHA6
contig_8	cds	93224	95542	-	KKIFNO_00460		PAS domain-containing sensor histidine kinase	RefSeq:WP_020334443.1, SO:0001217, UniParc:UPI000356FF96, UniRef:UniRef100_UPI001F2DE0D9, UniRef:UniRef50_Q9HWI4, UniRef:UniRef90_A0A1B1EHD4
contig_8	cds	95775	97394	+	KKIFNO_00465		acyl-CoA synthetase	RefSeq:WP_020334442.1, SO:0001217, UniParc:UPI0003582C8C, UniRef:UniRef100_UPI0003582C8C, UniRef:UniRef50_A0A375FIG7, UniRef:UniRef90_A0A0J1HE64
contig_8	cds	97508	98878	+	KKIFNO_00470		xanthine/uracil/vitamin C permease	RefSeq:WP_020334441.1, SO:0001217, UniParc:UPI00035811B7, UniRef:UniRef100_UPI00035811B7, UniRef:UniRef50_F6EMQ7, UniRef:UniRef90_A0A0J1HE88
contig_8	cds	98967	99833	-	KKIFNO_00475	lysR	LysR family transcriptional regulator	COG:COG0583, COG:K, RefSeq:WP_020334440.1, SO:0001217, UniParc:UPI0003578898, UniRef:UniRef100_A0A1B1EHC4, UniRef:UniRef50_K1JMR5, UniRef:UniRef90_A0A2A9G2X1
contig_8	cds	99939	101195	+	KKIFNO_00480	purA	adenylosuccinate synthase	COG:COG0104, COG:F, EC:6.3.4.4, KEGG:K01939, RefSeq:WP_020334438.1, SO:0001217, UniParc:UPI000357A27C, UniRef:UniRef100_UPI000357A27C, UniRef:UniRef50_Q3IIQ6, UniRef:UniRef90_A8T320
contig_8	cds	101329	102162	-	KKIFNO_00485	ppsR	phosphoenolpyruvate synthase regulatory protein	COG:COG1806, COG:T, RefSeq:WP_014233655.1, SO:0001217, UniParc:UPI000243B98A, UniRef:UniRef100_A0A1B1EHB0, UniRef:UniRef50_Q87J80, UniRef:UniRef90_A0A1B1EHB0
contig_8	cds	102503	104872	+	KKIFNO_00490	ppsA	phosphoenolpyruvate synthase	COG:COG0574, COG:G, RefSeq:WP_020334436.1, SO:0001217, UniParc:UPI0003571737, UniRef:UniRef100_A0A3B7D481, UniRef:UniRef50_A0A1C3JFD7, UniRef:UniRef90_A0A1C3JFD7
