#Annotated with Bakta v1.6.1, https://github.com/oschwengers/bakta
#Database v4.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_8	349006	349674	-	KKIFNO_01680	25.1	4.8		RefSeq:WP_020335050.1, SO:0001217, UniParc:UPI0003579643, UniRef:UniRef100_UPI0003579643, UniRef:UniRef50_F9T8F5, UniRef:UniRef90_A0A1B1EI29
contig_8	351351	351548	-	KKIFNO_01695	7.5	5.0		RefSeq:WP_014233426.1, SO:0001217, UniParc:UPI000243B32D, UniRef:UniRef100_A0A1B1EHY7, UniRef:UniRef50_A0A0C5WDM1, UniRef:UniRef90_A0A1B1EHY7
contig_8	351715	351873	+	KKIFNO_01700	6.1	9.3		
contig_8	379177	379368	+	KKIFNO_01805	7.1	10.0		SO:0001217, UniParc:UPI0003581BCF, UniRef:UniRef100_A0A1B1EI17, UniRef:UniRef50_A0A1B1EI17, UniRef:UniRef90_A0A1B1EI17
contig_8	387025	387273	+	KKIFNO_01835	9.5	8.9		RefSeq:WP_014235099.1, SO:0001217, UniParc:UPI000243B28C, UniRef:UniRef100_A0A1B1EHZ5, UniRef:UniRef50_A0A1E3E8T7, UniRef:UniRef90_A0A1B1EHZ5
contig_8	468619	468738	-	KKIFNO_02115	4.2	8.9		
contig_8	468925	469209	-	KKIFNO_02120	10.2	4.9		RefSeq:WP_020333520.1, SO:0001217, UniParc:UPI000357721C, UniRef:UniRef100_UPI000357721C, UniRef:UniRef50_A0A1B1EIU6, UniRef:UniRef90_A0A1B1EIU6
contig_8	469290	469700	-	KKIFNO_02125	14.6	4.1		RefSeq:WP_020333519.1, SO:0001217, UniParc:UPI000356E6E6, UniRef:UniRef100_UPI000356E6E6, UniRef:UniRef50_A0A1B1EIF1, UniRef:UniRef90_A0A1B1EIF1
contig_8	531549	531974	-	KKIFNO_02390	15.4	4.4		RefSeq:WP_020333477.1, SO:0001217, UniParc:UPI000357D853, UniRef:UniRef100_UPI000357D853, UniRef:UniRef50_A0A344KSL0, UniRef:UniRef90_A0A1B1EIZ9
contig_8	557519	557653	+	KKIFNO_02485	5.0	5.9		
contig_8	572237	572500	+	KKIFNO_02560	10.1	9.9		SO:0001217, UniRef:UniRef50_A7N783, UniRef:UniRef90_A0A1B1EIM6
contig_8	575319	575672	+	KKIFNO_02580	12.9	7.9		RefSeq:WP_076633446.1, SO:0001217, UniParc:UPI0009777CB9, UniRef:UniRef100_UPI0009777CB9, UniRef:UniRef50_A0A0Q0PYE6, UniRef:UniRef90_A0A3B7D5A1
contig_8	589628	589828	-	KKIFNO_02645	7.5	9.5		RefSeq:WP_020333440.1, SO:0001217, UniParc:UPI0003574B62, UniRef:UniRef100_A0A3B7D543, UniRef:UniRef50_A0A6F8WUL5, UniRef:UniRef90_A0A6F8WUL5
contig_8	600661	601158	-	KKIFNO_02695	19.1	5.8		RefSeq:WP_020333433.1, SO:0001217, UniParc:UPI000357638C, UniRef:UniRef100_A0A3B7CYJ7, UniRef:UniRef50_Q6LI36, UniRef:UniRef90_A0A1B1EIH8
contig_8	614132	615616	-	KKIFNO_02760	56.8	6.5		RefSeq:WP_020333420.1, SO:0001217, UniParc:UPI000356F8F5, UniRef:UniRef100_UPI000356F8F5, UniRef:UniRef50_A0A6N4AYY1, UniRef:UniRef90_A0A1B1EIF8
contig_8	686105	686359	-	KKIFNO_03070	9.8	4.9		SO:0001217, UniRef:UniRef50_A0A0M0HM08, UniRef:UniRef50_A0A2S1MIQ8, UniRef:UniRef90_A0A2S1MIQ8, UniRef:UniRef90_A0A7Y0SMX9
contig_8	693320	694219	+	KKIFNO_03095	33.4	9.1		RefSeq:WP_020335417.1, SO:0001217, UniParc:UPI000357DEB0, UniRef:UniRef100_UPI000357DEB0, UniRef:UniRef50_A0A3B7D1Q5, UniRef:UniRef90_A0A3B7D1Q5
contig_8	694248	694964	+	KKIFNO_03100	25.7	4.5		RefSeq:WP_020335416.1, SO:0001217, UniParc:UPI00035718CB, UniRef:UniRef100_UPI00035718CB, UniRef:UniRef50_A0A0J1HFU0, UniRef:UniRef90_A0A1B1EIX2
contig_8	694964	696142	+	KKIFNO_03105	43.4	5.2		RefSeq:WP_020335415.1, SO:0001217, UniParc:UPI0003582AED, UniRef:UniRef100_A0A1B1EIR4, UniRef:UniRef50_A0A090QHB3, UniRef:UniRef90_A0A151JLA2
contig_8	696124	697521	+	KKIFNO_03110	50.3	5.6		RefSeq:WP_020335413.1, SO:0001217, UniParc:UPI000357DF62, UniRef:UniRef100_UPI000357DF62, UniRef:UniRef50_A0A0J1GPN9, UniRef:UniRef90_A0A1B1EIS0
contig_8	697540	698838	+	KKIFNO_03115	45.9	5.3		RefSeq:WP_020335411.1, SO:0001217, UniParc:UPI0003581035, UniRef:UniRef100_UPI0003581035, UniRef:UniRef50_A0A0J1GQM9, UniRef:UniRef90_A0A1B1EIS7
contig_8	698828	699592	+	KKIFNO_03120	28.8	4.9		RefSeq:WP_020335410.1, SO:0001217, UniParc:UPI000357776C, UniRef:UniRef100_UPI000357776C, UniRef:UniRef50_A0A109X6B9, UniRef:UniRef90_A0A1B1EIS9
contig_8	700965	701543	+	KKIFNO_03130	20.4	5.3		RefSeq:WP_020335408.1, SO:0001217, UniParc:UPI000357B96E, UniRef:UniRef100_UPI000357B96E, UniRef:UniRef50_A0A0J1HFT4, UniRef:UniRef90_A0A1B1EJG4
contig_8	709688	710830	+	KKIFNO_03170	38.0	4.1		RefSeq:WP_020335401.1, SO:0001217, UniParc:UPI000357C02F, UniRef:UniRef100_UPI000357C02F, UniRef:UniRef50_A0A3B7D1R6, UniRef:UniRef90_A0A3B7D1R6
contig_8	725688	726533	+	KKIFNO_03245	32.5	5.1		RefSeq:WP_020335386.1, SO:0001217, UniParc:UPI0003578D12, UniRef:UniRef100_UPI0003578D12, UniRef:UniRef50_UPI001FBA44B7, UniRef:UniRef90_UPI001FBA44B7
contig_8	732848	734209	+	KKIFNO_03275	51.7	5.0		RefSeq:WP_020335380.1, SO:0001217, UniParc:UPI000358063A, UniRef:UniRef100_UPI000358063A, UniRef:UniRef50_A0A1B1EIZ5, UniRef:UniRef90_A0A1B1EIZ5
contig_8	744222	744704	+	KKIFNO_03325	18.7	4.1		RefSeq:WP_024372865.1, SO:0001217, UniParc:UPI000462C390, UniRef:UniRef100_UPI000462C390, UniRef:UniRef50_A7N658, UniRef:UniRef90_A0A1B1ELQ7
contig_8	746782	747381	-	KKIFNO_03340	21.5	9.6		RefSeq:WP_020335370.1, SO:0001217, UniParc:UPI0003577B07, UniRef:UniRef100_UPI0003577B07, UniRef:UniRef50_Q87J36, UniRef:UniRef90_A0A1B1EIU8
contig_8	748111	748200	+	KKIFNO_03350	3.2	4.6		
contig_8	751729	751935	+	KKIFNO_03380	7.4	9.2		RefSeq:WP_014234731.1, SO:0001217, UniParc:UPI000243B7AC, UniRef:UniRef100_A0A1B1ELJ1, UniRef:UniRef50_A0A1B1ELJ1, UniRef:UniRef90_A0A1B1ELJ1
contig_8	758071	758172	-	KKIFNO_03410	3.7	5.1		
contig_8	769747	769926	-	KKIFNO_03460	6.1	7.9		RefSeq:WP_020335353.1, SO:0001217, UniParc:UPI000357F568, UniRef:UniRef100_UPI000357F568, UniRef:UniRef50_A0A0C3IC11, UniRef:UniRef90_UPI000357F568
contig_8	788180	788473	+	KKIFNO_03530	11.1	4.9		RefSeq:WP_014234702.1, SO:0001217, UniParc:UPI000243B695, UniRef:UniRef100_A0A1B1EIX9, UniRef:UniRef50_A0A072L5J6, UniRef:UniRef90_A0A1B1EIX9
contig_8	794440	794592	+	KKIFNO_03560	5.3	9.1		RefSeq:WP_014234686.1, SO:0001217, UniParc:UPI000243B685, UniRef:UniRef100_A0A3B7D5T5, UniRef:UniRef50_C9QEZ9, UniRef:UniRef90_A0A3B7D5T5
contig_8	805606	806001	-	KKIFNO_03600	14.5	5.8		RefSeq:WP_076633466.1, SO:0001217, UniParc:UPI00040AFE59, UniRef:UniRef100_UPI00040AFE59, UniRef:UniRef50_Q87IX2, UniRef:UniRef90_A0A3B7CZT1
contig_8	810683	811054	+	KKIFNO_03610	14.3	5.1		RefSeq:WP_014234677.1, SO:0001217, UniParc:UPI000243B584, UniRef:UniRef100_A0A3B7D5U5, UniRef:UniRef50_Q87IW9, UniRef:UniRef90_A0A1B1EJ27
contig_8	816923	817045	-	KKIFNO_03645	4.8	9.5		
contig_8	819070	819816	-	KKIFNO_03655	28.1	10.0		RefSeq:WP_020335320.1, SO:0001217, UniParc:UPI000356EC2C, UniRef:UniRef100_UPI000356EC2C, UniRef:UniRef50_A0A1P8MJX2, UniRef:UniRef90_A0A1B1EJ16
contig_8	820350	820658	+	KKIFNO_03665	12.0	5.4		RefSeq:WP_020335319.1, SO:0001217, UniParc:UPI0003571A7D, UniRef:UniRef100_UPI0003571A7D, UniRef:UniRef50_S5IUB3, UniRef:UniRef90_A0A1B1EJ32
contig_8	822729	823085	+	KKIFNO_03675	14.5	9.7		RefSeq:WP_020335318.1, SO:0001217, UniParc:UPI000357936E, UniRef:UniRef100_UPI000357936E, UniRef:UniRef50_A0A1B1EJC6, UniRef:UniRef90_A0A1B1EJC6
contig_8	828967	829599	+	KKIFNO_03700	23.8	5.0		RefSeq:WP_020335313.1, SO:0001217, UniParc:UPI000357B49F, UniRef:UniRef100_A0A3B7D626, UniRef:UniRef50_S5IUB0, UniRef:UniRef90_A0A1B1EJ30
contig_8	834294	834641	+	KKIFNO_03720	13.4	4.5		RefSeq:WP_014234656.1, SO:0001217, UniParc:UPI000243B56F, UniRef:UniRef100_A0A1B1EJS6, UniRef:UniRef50_A0A2A9G660, UniRef:UniRef90_A0A2A9G660
contig_8	834771	834905	+	KKIFNO_03725	4.7	10.4		SO:0001217, UniParc:UPI000243B56E, UniRef:UniRef100_A0A3B7D7F6, UniRef:UniRef50_A0A221WYK2, UniRef:UniRef90_A0A3B7D7F6
contig_8	853456	853998	-	KKIFNO_03830	20.5	6.1		RefSeq:WP_020335292.1, SO:0001217, UniParc:UPI0003570655, UniRef:UniRef100_A0A1B1EJ53, UniRef:UniRef50_A0A2I3CTK1, UniRef:UniRef90_A0A1B1EJ53
contig_8	859606	860814	+	KKIFNO_03870	45.9	4.8		RefSeq:WP_020335287.1, SO:0001217, UniParc:UPI000357DB23, UniRef:UniRef100_UPI000357DB23, UniRef:UniRef50_Q6LI85, UniRef:UniRef90_A0A3B7DBR6
contig_8	879751	879999	-	KKIFNO_03965	8.9	4.9		RefSeq:WP_020335268.1, SO:0001217, UniParc:UPI000357F51E, UniRef:UniRef100_A0A3B7D612, UniRef:UniRef50_A0A7X8YJ45, UniRef:UniRef90_A0A1B1EJ84
contig_8	888713	889366	+	KKIFNO_04005	23.7	4.2		RefSeq:WP_020335261.1, SO:0001217, UniParc:UPI0003570A52, UniRef:UniRef100_UPI0003570A52, UniRef:UniRef50_A0A1B1EJA0, UniRef:UniRef90_A0A1B1EJA0
contig_8	906905	907147	+	KKIFNO_04070	9.1	4.2		RefSeq:WP_020335251.1, SO:0001217, UniParc:UPI000357BD26, UniRef:UniRef100_UPI000357BD26, UniRef:UniRef50_A0A1B1EJJ4, UniRef:UniRef90_A0A1B1EJJ4
contig_8	914966	915457	+	KKIFNO_04120	18.2	6.6		RefSeq:WP_020335241.1, SO:0001217, UniParc:UPI00035763C4, UniRef:UniRef100_UPI00035763C4, UniRef:UniRef50_A0A521SAN0, UniRef:UniRef90_A0A1B1EJK4
contig_8	917307	920702	+	KKIFNO_04130	120.9	4.1		RefSeq:WP_020335239.1, SO:0001217, UniParc:UPI000357751F, UniRef:UniRef100_UPI000357751F, UniRef:UniRef50_A0A1B1EJD9, UniRef:UniRef90_A0A1B1EJD9
contig_8	921147	922109	-	KKIFNO_04135	33.6	4.1		RefSeq:WP_152490593.1, SO:0001217, UniParc:UPI0004121229, UniRef:UniRef100_UPI0004121229, UniRef:UniRef50_UPI001EFCE5D9, UniRef:UniRef90_UPI001EFCE5D9
contig_8	922638	922772	+	KKIFNO_04140	4.6	9.8		
contig_8	922729	923664	+	KKIFNO_04145	33.5	4.3		
contig_8	925368	925712	-	KKIFNO_04160	13.3	5.8		RefSeq:WP_020335233.1, SO:0001217, UniParc:UPI0003572ACB, UniRef:UniRef100_UPI001F2C1F98, UniRef:UniRef50_A0A344KT08, UniRef:UniRef90_A0A344KT08
contig_8	925777	926070	+	KKIFNO_04165	11.1	4.8		RefSeq:WP_020335232.1, SO:0001217, UniParc:UPI0003571122, UniRef:UniRef100_UPI0003571122, UniRef:UniRef50_A0A1B1EJP7, UniRef:UniRef90_A0A3B7D6A9
contig_8	949210	949332	-	KKIFNO_04265	4.8	9.8		
contig_8	987497	988399	-	KKIFNO_04435	32.9	4.5		RefSeq:WP_020335183.1, SO:0001217, UniParc:UPI0003574126, UniRef:UniRef100_UPI0003574126, UniRef:UniRef50_E1STV6, UniRef:UniRef90_UPI001EFC3427
contig_8	994209	994808	+	KKIFNO_04470	22.2	4.9		RefSeq:WP_020335178.1, SO:0001217, UniParc:UPI000357CB84, UniRef:UniRef100_UPI000357CB84, UniRef:UniRef50_A0A3Q0L0Z2, UniRef:UniRef90_UPI001EFE17DA
contig_8	1002433	1002882	+	KKIFNO_04500	16.6	5.3	PF04170.15|NlpE	PFAM:PF04170.15, RefSeq:WP_020335173.1, SO:0001217, UniParc:UPI0003582A31, UniRef:UniRef100_UPI0003582A31, UniRef:UniRef50_A0A2N7DED1, UniRef:UniRef90_UPI0003582A31
contig_8	1009714	1010151	+	KKIFNO_04535	16.8	5.0		RefSeq:WP_020336099.1, SO:0001217, UniParc:UPI000357D5FE, UniRef:UniRef100_UPI000357D5FE, UniRef:UniRef50_UPI000357D5FE, UniRef:UniRef90_UPI000357D5FE
contig_8	1049012	1049413	-	KKIFNO_04715	15.3	6.1		RefSeq:WP_020336059.1, SO:0001217, UniParc:UPI000358323E, UniRef:UniRef100_UPI000358323E, UniRef:UniRef50_UPI000358323E, UniRef:UniRef90_UPI000358323E
contig_8	1064859	1065197	+	KKIFNO_04765	13.3	10.5		RefSeq:WP_020336048.1, SO:0001217, UniParc:UPI0003576858, UniRef:UniRef100_UPI0003576858, UniRef:UniRef50_A7MTH2, UniRef:UniRef90_UPI00081AA1C1
contig_8	1065427	1066164	+	KKIFNO_04770	27.0	8.9		RefSeq:WP_020336047.1, SO:0001217, UniParc:UPI000357048D, UniRef:UniRef100_UPI000357048D, UniRef:UniRef50_UPI00081C28E2, UniRef:UniRef90_UPI00081C28E2
contig_8	1066246	1066851	+	KKIFNO_04775	22.9	9.3		RefSeq:WP_020336046.1, SO:0001217, UniParc:UPI0003580E22, UniRef:UniRef100_UPI0003580E22, UniRef:UniRef50_UPI001EEAC2FE, UniRef:UniRef90_UPI001EEAC2FE
contig_8	1066882	1067139	+	KKIFNO_04780	9.8	5.5		RefSeq:WP_020336045.1, SO:0001217, UniParc:UPI0003578B9F, UniRef:UniRef100_UPI0003578B9F, UniRef:UniRef50_UPI001EEB1921, UniRef:UniRef90_UPI000243B910
contig_8	1067179	1067412	+	KKIFNO_04785	8.9	5.8		RefSeq:WP_020336044.1, SO:0001217, UniParc:UPI00035819A1, UniRef:UniRef100_UPI00035819A1, UniRef:UniRef50_UPI000243B911, UniRef:UniRef90_UPI000243B911
contig_8	1123622	1125358	+	KKIFNO_05035	65.8	5.7		RefSeq:WP_020336000.1, SO:0001217, UniParc:UPI00035768CD, UniRef:UniRef100_UPI00035768CD, UniRef:UniRef50_A0A0L1L9Q0, UniRef:UniRef90_A0A4P8G494
contig_8	1130628	1131452	+	KKIFNO_05065	31.1	6.4		RefSeq:WP_020335994.1, SO:0001217, UniParc:UPI0003577161, UniRef:UniRef100_UPI0003577161, UniRef:UniRef50_A0A1B1EK01, UniRef:UniRef90_A0A1B1EK01
contig_8	1131452	1132573	+	KKIFNO_05070	42.5	5.7		RefSeq:WP_020335993.1, SO:0001217, UniParc:UPI0003571DDA, UniRef:UniRef100_UPI0003571DDA, UniRef:UniRef50_A0A1B1EKK0, UniRef:UniRef90_A0A1B1EKK0
contig_8	1133751	1134401	+	KKIFNO_05080	23.1	4.1		RefSeq:WP_020335990.1, SO:0001217, UniParc:UPI0003582E3A, UniRef:UniRef100_UPI0003582E3A, UniRef:UniRef50_A0A1B1EK78, UniRef:UniRef90_A0A1B1EK78
contig_8	1152902	1153984	+	KKIFNO_05145	38.3	8.8		RefSeq:WP_014234351.1, SO:0001217, UniParc:UPI000243BD1A, UniRef:UniRef100_A0A3B7D7C9, UniRef:UniRef50_A0A0A1MRR6, UniRef:UniRef90_A0A0M0HT83
contig_8	1155218	1156537	+	KKIFNO_05155	49.3	5.3	PF06742.14|DUF1214, PF06863.15|DUF1254	PFAM:PF06742.14, PFAM:PF06863.15, SO:0001217, UniRef:UniRef50_Q5DYL6, UniRef:UniRef90_A0A2J8GNI7
contig_8	1209776	1210402	+	KKIFNO_05350	23.7	5.9		RefSeq:WP_020334964.1, SO:0001217, UniParc:UPI000357EEA7, UniRef:UniRef100_UPI000357EEA7, UniRef:UniRef50_A0A2I3CRX2, UniRef:UniRef90_A0A1B1EJX7
contig_8	1212455	1212916	-	KKIFNO_05365	17.4	8.4		RefSeq:WP_024372986.1, SO:0001217, UniParc:UPI0004162743, UniRef:UniRef100_UPI0004162743, UniRef:UniRef50_A7N483, UniRef:UniRef90_A0A1B1EK45
contig_8	1214417	1214704	-	KKIFNO_05375	9.7	8.8		SO:0001217, UniRef:UniRef50_A0A0L8CX62, UniRef:UniRef90_A0A1B1EKB5
contig_8	1216025	1216123	+	KKIFNO_05385	3.5	6.7		SO:0001217, UniParc:UPI000243BBF8, UniRef:UniRef100_A0A3B7CV84, UniRef:UniRef50_A7N469, UniRef:UniRef90_A0A3B7CV84
contig_8	1226842	1227105	+	KKIFNO_05435	10.2	5.2		RefSeq:WP_014234308.1, SO:0001217, UniParc:UPI000243BBEF, UniRef:UniRef100_A0A3B7D353, UniRef:UniRef50_A0A0L7TL53, UniRef:UniRef90_A0A1B1EKC6
contig_8	1227274	1227465	-	KKIFNO_05440	7.3	4.7		RefSeq:WP_014234307.1, SO:0001217, UniParc:UPI000243BBEE, UniRef:UniRef100_A0A1B1ELM9, UniRef:UniRef50_K5TG59, UniRef:UniRef90_A0A1B1ELM9
contig_8	1227869	1228372	-	KKIFNO_05450	18.6	6.5		RefSeq:WP_020334948.1, SO:0001217, UniParc:UPI00035732F0, UniRef:UniRef100_UPI00035732F0, UniRef:UniRef50_A0A1B1EJZ9, UniRef:UniRef90_A0A1B1EJZ9
contig_8	1266618	1266851	-	KKIFNO_05600	8.9	5.9		RefSeq:WP_076633462.1, SO:0001217, UniParc:UPI000976EC18, UniRef:UniRef100_UPI000976EC18, UniRef:UniRef50_A0A2S0SGQ5, UniRef:UniRef90_A0A3B7D385
contig_8	1268855	1268959	+	KKIFNO_05610	3.9	4.1		SO:0001217, UniParc:UPI000243BAD1, UniRef:UniRef100_A0A3B7CWT6, UniRef:UniRef50_E8M5F8, UniRef:UniRef90_A0A3B7CWT6
contig_8	1272017	1272649	-	KKIFNO_05630	24.6	6.7		RefSeq:WP_014234270.1, SO:0001217, UniParc:UPI000243BACD, UniRef:UniRef100_A0A3B7CWG8, UniRef:UniRef50_B7VSH5, UniRef:UniRef90_A0A1B1EK56
contig_8	1283373	1283564	+	KKIFNO_05680	7.2	6.7		RefSeq:WP_020334907.1, SO:0001217, UniParc:UPI000357B8CC, UniRef:UniRef100_UPI000357B8CC, UniRef:UniRef50_Q6LIV8, UniRef:UniRef90_Q87HU9
contig_8	1293186	1293437	+	KKIFNO_05725	9.3	9.7		RefSeq:WP_014234251.1, SO:0001217, UniParc:UPI000243B9CE, UniRef:UniRef100_A0A1B1EK53, UniRef:UniRef50_Q5E017, UniRef:UniRef90_A0A1B1EK53
contig_8	1320772	1320993	+	KKIFNO_05840	8.2	5.1		RefSeq:WP_020334880.1, SO:0001217, UniParc:UPI0003575C9C, UniRef:UniRef100_A0A3B7D2B5, UniRef:UniRef50_A0A0H0YII3, UniRef:UniRef90_A0A1B1EKD7
contig_8	1321354	1321575	+	KKIFNO_05845	8.3	9.8		RefSeq:WP_020334879.1, SO:0001217, UniParc:UPI0003570012, UniRef:UniRef100_A0A1B1EKW9, UniRef:UniRef50_A0A0H0YII3, UniRef:UniRef90_A0A1B1EKW9
contig_8	1339396	1339932	+	KKIFNO_05935	19.6	5.6		RefSeq:WP_024372991.1, SO:0001217, UniParc:UPI000403184B, UniRef:UniRef100_A0A1B1EKB6, UniRef:UniRef50_Q7MDZ5, UniRef:UniRef90_A0A1B1EKB6
contig_8	1380747	1383218	-	KKIFNO_06130	88.3	4.1		RefSeq:WP_020334833.1, SO:0001217, UniParc:UPI00035807ED, UniRef:UniRef100_UPI00035807ED, UniRef:UniRef50_A0A4Y3HTM8, UniRef:UniRef90_UPI00035807ED
contig_8	1411770	1412336	-	KKIFNO_06285	21.4	6.7		RefSeq:WP_020334806.1, SO:0001217, UniParc:UPI0003579275, UniRef:UniRef100_A0A1B1EKV0, UniRef:UniRef50_A0A0F4PYX1, UniRef:UniRef90_A0A1B1EKV0
contig_8	1423199	1423462	-	KKIFNO_06335	9.4	4.1	PF13202.9|EF-hand_5, PF13202.9|EF-hand_5	PFAM:PF13202.9, PFAM:PF13202.9, RefSeq:WP_014234132.1, SO:0001217, UniParc:UPI000243B673, UniRef:UniRef100_A0A1B1EKV7, UniRef:UniRef50_A0A1B1EKV7, UniRef:UniRef90_A0A1B1EKV7
contig_8	1455593	1455874	+	KKIFNO_06475	11.3	7.8		RefSeq:WP_020334775.1, SO:0001217, UniParc:UPI00035713E9, UniRef:UniRef100_UPI00035713E9, UniRef:UniRef50_A0A3B7CW30, UniRef:UniRef90_A0A3B7CW30
contig_8	1463189	1463569	-	KKIFNO_06520	14.1	9.2		RefSeq:WP_020334767.1, SO:0001217, UniParc:UPI0003570981, UniRef:UniRef100_A0A1B1ELI6, UniRef:UniRef50_A0A1B1ELI6, UniRef:UniRef90_A0A1B1ELI6
